Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
38	73.30877	77.10858	156.13033	-51.888763	787.75	-29.47097	0.010021555	-29.395077	-29.476547	156000	-5.7816507e-09	3792.694	-0.0059931804	-116.34253	1.0112565	0.008593611	0.13275	79.0	404.56151032447815
39	19.241392	14.948909	41.553265	2.763754	1000.0	-27.400875	0.013292358	-27.314058	-27.407156	160000	-2.1457671e-09	574.36646	-0.0054703043	-15.995178	0.9537804	0.0064929253	0.097	79.0	423.4888792037964
40	47.182785	50.828434	92.95042	-38.314713	861.5	-26.498589	0.013053249	-26.39649	-26.505953	164000	1.8239021e-08	1191.8645	-0.0108327	-46.09424	1.0608233	0.009090147	0.1115	79.0	440.32894134521484
41	-36.197083	21.025824	-8.282261	-59.939934	1000.0	-25.131607	0.0065908525	-25.08126	-25.136238	168000	3.4570693e-09	357.7818	-0.007553461	-1.953125	1.0389624	0.0050127003	0.0985	79.0	458.7829325199127
42	-11.829149	67.42551	49.792793	-125.62821	931.25	-25.339706	0.0145274885	-25.253088	-25.349173	172000	-7.152557e-09	1254.59	-0.0061320057	-0.1809082	1.0239015	0.0014600263	0.028	79.0	475.7713670730591
43	-39.113182	51.56989	21.614956	-102.993774	776.25	-25.272322	0.014082762	-25.14293	-25.282705	176000	-2.9802323e-09	2304.6304	-0.0076248795	-55.152588	0.9987131	0.008247811	0.12875	79.0	492.97672295570374
44	-96.43859	27.64685	-50.47355	-123.74516	973.5	-26.80368	0.006829303	-26.76105	-26.80871	180000	2.6106834e-08	1832.242	-0.010113858	-208.41797	1.0092466	0.0042128013	0.04275	79.0	511.4997732639313
45	-29.761433	43.229126	14.704759	-72.99429	1000.0	-29.876942	0.01077831	-29.811968	-29.883781	184000	8.3446505e-10	684.82916	-0.006294326	-22.078613	1.0107777	0.0067984057	0.08675	79.0	530.4086484909058
46	-33.219334	24.959452	4.9376087	-63.64748	1000.0	-31.03804	0.00483599	-31.010153	-31.042326	188000	1.7166137e-08	259.98987	-0.009051239	-17.862991	0.9920301	0.008056604	0.11075	79.0	548.8300278186798
47	-54.275494	37.070293	-8.153843	-110.72635	1000.0	-31.981144	0.008268094	-31.884466	-31.98706	192000	-1.6778708e-08	744.8712	-0.007787394	-60.31189	0.9995255	0.006327523	0.06475	79.0	566.5684294700623
48	-93.54934	50.9442	-40.841232	-176.58623	931.25	-33.699867	0.0063015423	-33.65718	-33.7049	196000	6.9141386e-09	1790.386	-0.0048584836	-180.9115	0.9791414	0.0031173162	0.082	79.0	584.4243586063385
49	-16.126028	49.49958	63.161648	-73.269135	1000.0	-36.680332	0.011680781	-36.57818	-36.687943	200000	1.6510487e-08	474.88647	-0.008375219	-2.1950989	0.9971633	0.008067452	0.10475	79.0	603.4031591415405
